Symbol,Date,High,Low,Open,Close
ETH,2015-08-08,2.80,0.71,2.79,0.75
ETH,2015-08-09,0.88,0.63,0.71,0.70
ETH,2015-08-10,0.73,0.64,0.71,0.71
ETH,2015-08-11,1.13,0.66,0.71,1.07
ETH,2015-08-12,1.29,0.88,1.06,1.22
ETH,2015-08-13,1.97,1.17,1.22,1.83
ETH,2015-08-14,2.26,1.75,1.81,1.83
ETH,2015-08-15,1.88,1.57,1.80,1.69
ETH,2015-08-16,1.70,1.09,1.68,1.57
ETH,2015-08-17,1.58,1.19,1.58,1.20
ETH,2015-08-18,1.33,1.09,1.22,1.09
ETH,2015-08-19,1.32,1.17,1.17,1.26
ETH,2015-08-20,1.53,1.25,1.25,1.46
ETH,2015-08-21,1.56,1.35,1.48,1.40
ETH,2015-08-22,1.48,1.35,1.40,1.38
ETH,2015-08-23,1.41,1.30,1.38,1.35
ETH,2015-08-24,1.36,1.23,1.35,1.23
ETH,2015-08-25,1.24,1.13,1.23,1.14
ETH,2015-08-26,1.20,1.06,1.13,1.16
ETH,2015-08-27,1.19,1.14,1.17,1.15
ETH,2015-08-28,1.21,1.12,1.15,1.19
ETH,2015-08-29,1.21,1.15,1.19,1.18
ETH,2015-08-30,1.37,1.17,1.18,1.32
ETH,2015-08-31,1.40,1.20,1.32,1.36
ETH,2015-09-01,1.39,1.34,1.35,1.35
ETH,2015-09-02,1.35,1.26,1.35,1.29
ETH,2015-09-03,1.31,1.21,1.30,1.26
ETH,2015-09-04,1.30,1.24,1.26,1.27
ETH,2015-09-05,1.34,1.27,1.28,1.34
ETH,2015-09-06,1.37,1.29,1.34,1.30
ETH,2015-09-07,1.31,1.24,1.30,1.25
ETH,2015-09-08,1.28,1.23,1.25,1.24
ETH,2015-09-09,1.26,1.20,1.24,1.21
ETH,2015-09-10,1.22,1.14,1.21,1.17
ETH,2015-09-11,1.17,0.94,1.16,0.98
ETH,2015-09-12,1.11,0.97,0.99,1.04
ETH,2015-09-13,1.04,0.90,1.04,0.94
ETH,2015-09-14,0.95,0.87,0.94,0.88
ETH,2015-09-15,1.05,0.88,0.88,0.94
ETH,2015-09-16,0.95,0.90,0.94,0.91
ETH,2015-09-17,0.91,0.83,0.91,0.87
ETH,2015-09-18,0.89,0.83,0.87,0.85
ETH,2015-09-19,0.91,0.83,0.85,0.88
ETH,2015-09-20,0.95,0.87,0.88,0.94
ETH,2015-09-21,0.96,0.88,0.94,0.92
ETH,2015-09-22,0.92,0.87,0.92,0.90
ETH,2015-09-23,0.91,0.89,0.90,0.89
ETH,2015-09-24,0.91,0.79,0.90,0.81
ETH,2015-09-25,0.83,0.71,0.82,0.74
ETH,2015-09-26,0.79,0.71,0.74,0.79
ETH,2015-09-27,0.79,0.72,0.79,0.72
ETH,2015-09-28,0.73,0.56,0.72,0.58
ETH,2015-09-29,0.68,0.56,0.58,0.66
ETH,2015-09-30,0.75,0.64,0.66,0.74
ETH,2015-10-01,0.73,0.66,0.73,0.69
ETH,2015-10-02,0.69,0.65,0.68,0.68
ETH,2015-10-03,0.71,0.68,0.68,0.69
ETH,2015-10-04,0.69,0.66,0.69,0.67
ETH,2015-10-05,0.67,0.62,0.67,0.63
ETH,2015-10-06,0.65,0.61,0.62,0.65
ETH,2015-10-07,0.66,0.60,0.65,0.61
ETH,2015-10-08,0.63,0.59,0.61,0.62
ETH,2015-10-09,0.69,0.63,0.66,0.65
ETH,2015-10-10,0.65,0.62,0.64,0.63
ETH,2015-10-11,0.64,0.62,0.63,0.63
ETH,2015-10-12,0.66,0.63,0.63,0.63
ETH,2015-10-13,0.63,0.60,0.63,0.61
ETH,2015-10-14,0.61,0.48,0.61,0.52
ETH,2015-10-15,0.57,0.51,0.52,0.56
ETH,2015-10-16,0.57,0.52,0.56,0.54
ETH,2015-10-17,0.56,0.53,0.53,0.55
ETH,2015-10-18,0.55,0.51,0.55,0.52
ETH,2015-10-19,0.52,0.48,0.52,0.49
ETH,2015-10-20,0.50,0.43,0.49,0.43
ETH,2015-10-21,0.48,0.42,0.43,0.45
ETH,2015-10-22,0.62,0.42,0.44,0.57
ETH,2015-10-23,0.61,0.50,0.57,0.54
ETH,2015-10-24,0.58,0.52,0.54,0.56
ETH,2015-10-25,0.69,0.56,0.56,0.62
ETH,2015-10-26,0.76,0.60,0.62,0.73
ETH,2015-10-27,0.90,0.71,0.71,0.87
ETH,2015-10-28,1.06,0.81,0.87,1.00
ETH,2015-10-29,1.21,0.95,1.01,1.21
ETH,2015-10-30,1.35,0.97,1.21,1.04
ETH,2015-10-31,1.06,0.90,1.05,0.92
ETH,2015-11-01,1.08,0.90,0.92,1.06
ETH,2015-11-02,1.10,0.95,1.06,0.99
ETH,2015-11-03,1.07,0.94,0.99,1.01
ETH,2015-11-04,1.04,0.73,1.01,0.90
ETH,2015-11-05,0.99,0.86,0.90,0.90
ETH,2015-11-06,0.99,0.85,0.90,0.93
ETH,2015-11-07,0.94,0.86,0.92,0.93
ETH,2015-11-08,1.03,0.92,0.92,1.03
ETH,2015-11-09,1.11,0.95,1.03,1.00
ETH,2015-11-10,1.05,0.92,1.00,0.93
ETH,2015-11-11,0.95,0.73,0.94,0.79
ETH,2015-11-12,0.91,0.76,0.80,0.90
ETH,2015-11-13,0.92,0.85,0.91,0.90
ETH,2015-11-14,0.91,0.88,0.91,0.89
ETH,2015-11-15,0.92,0.87,0.89,0.91
ETH,2015-11-16,0.94,0.89,0.91,0.93
ETH,2015-11-17,1.03,0.91,0.92,1.01
ETH,2015-11-18,1.01,0.94,0.99,0.99
ETH,2015-11-19,1.01,0.94,0.99,0.96
ETH,2015-11-20,0.96,0.90,0.96,0.92
ETH,2015-11-21,0.98,0.92,0.93,0.98
ETH,2015-11-22,0.98,0.96,0.98,0.97
ETH,2015-11-23,0.97,0.93,0.97,0.95
ETH,2015-11-24,0.95,0.90,0.95,0.90
ETH,2015-11-25,0.90,0.85,0.89,0.86
ETH,2015-11-26,0.90,0.80,0.86,0.88
ETH,2015-11-27,0.90,0.86,0.88,0.87
ETH,2015-11-28,0.93,0.86,0.87,0.92
ETH,2015-11-29,0.91,0.86,0.91,0.88
ETH,2015-11-30,0.90,0.85,0.88,0.87
ETH,2015-12-01,0.89,0.85,0.88,0.87
ETH,2015-12-02,0.88,0.82,0.87,0.82
ETH,2015-12-03,0.84,0.79,0.82,0.81
ETH,2015-12-04,0.86,0.80,0.81,0.84
ETH,2015-12-05,0.87,0.82,0.84,0.86
ETH,2015-12-06,0.88,0.83,0.87,0.84
ETH,2015-12-07,0.85,0.79,0.84,0.81
ETH,2015-12-08,0.82,0.78,0.81,0.82
ETH,2015-12-09,0.82,0.77,0.82,0.79
ETH,2015-12-10,0.86,0.79,0.80,0.84
ETH,2015-12-11,0.93,0.82,0.84,0.93
ETH,2015-12-12,1.05,0.93,0.93,0.98
ETH,2015-12-13,0.99,0.94,0.97,0.95
ETH,2015-12-14,1.01,0.95,0.96,0.99
ETH,2015-12-15,1.03,0.98,0.99,1.01
ETH,2015-12-16,1.02,0.97,1.02,0.99
ETH,2015-12-17,1.00,0.91,0.99,0.94
ETH,2015-12-18,0.94,0.91,0.94,0.92
ETH,2015-12-19,0.93,0.89,0.92,0.91
ETH,2015-12-20,0.94,0.90,0.91,0.90
ETH,2015-12-21,0.92,0.89,0.91,0.90
ETH,2015-12-22,0.91,0.86,0.89,0.86
ETH,2015-12-23,0.88,0.86,0.86,0.86
ETH,2015-12-24,0.88,0.85,0.86,0.86
ETH,2015-12-25,0.88,0.86,0.86,0.87
ETH,2015-12-26,0.90,0.84,0.87,0.85
ETH,2015-12-27,0.86,0.84,0.85,0.86
ETH,2015-12-28,0.87,0.83,0.86,0.85
ETH,2015-12-29,0.87,0.83,0.84,0.87
ETH,2015-12-30,0.94,0.87,0.87,0.91
ETH,2015-12-31,0.98,0.91,0.91,0.93
ETH,2016-01-01,0.95,0.93,0.93,0.95
ETH,2016-01-02,0.97,0.94,0.95,0.94
ETH,2016-01-03,0.99,0.93,0.94,0.97
ETH,2016-01-04,0.98,0.93,0.97,0.95
ETH,2016-01-05,0.97,0.95,0.95,0.95
ETH,2016-01-06,0.96,0.94,0.95,0.95
ETH,2016-01-07,0.97,0.94,0.96,0.94
ETH,2016-01-08,0.99,0.94,0.94,0.99
ETH,2016-01-09,0.99,0.97,0.99,0.99
ETH,2016-01-10,1.00,0.98,0.99,1.00
ETH,2016-01-11,1.07,1.00,1.00,1.06
ETH,2016-01-12,1.28,1.05,1.07,1.14
ETH,2016-01-13,1.15,1.08,1.14,1.13
ETH,2016-01-14,1.19,1.10,1.12,1.19
ETH,2016-01-15,1.32,1.14,1.18,1.21
ETH,2016-01-16,1.31,1.17,1.22,1.22
ETH,2016-01-17,1.33,1.21,1.22,1.33
ETH,2016-01-18,1.54,1.32,1.33,1.43
ETH,2016-01-19,1.46,1.31,1.42,1.37
ETH,2016-01-20,1.62,1.35,1.36,1.53
ETH,2016-01-21,1.59,1.49,1.53,1.55
ETH,2016-01-22,1.58,1.47,1.55,1.50
ETH,2016-01-23,2.03,1.50,1.50,1.97
ETH,2016-01-24,2.30,1.90,1.90,2.14
ETH,2016-01-25,2.66,2.06,2.15,2.50
ETH,2016-01-26,2.84,1.99,2.53,2.28
ETH,2016-01-27,2.59,2.19,2.25,2.39
ETH,2016-01-28,2.68,2.34,2.41,2.53
ETH,2016-01-29,2.61,2.30,2.54,2.49
ETH,2016-01-30,2.61,2.40,2.51,2.45
ETH,2016-01-31,2.53,2.19,2.44,2.31
ETH,2016-02-01,2.32,2.12,2.32,2.21
ETH,2016-02-02,2.45,2.16,2.22,2.44
ETH,2016-02-03,2.54,2.34,2.43,2.53
ETH,2016-02-04,2.63,2.44,2.53,2.58
ETH,2016-02-05,2.61,2.47,2.57,2.54
ETH,2016-02-06,2.56,2.47,2.53,2.53
ETH,2016-02-07,3.06,2.54,2.54,2.96
ETH,2016-02-08,3.27,2.88,2.97,3.18
ETH,2016-02-09,4.04,3.17,3.17,4.04
ETH,2016-02-10,4.86,3.78,4.00,4.44
ETH,2016-02-11,6.29,4.34,4.50,6.01
ETH,2016-02-12,6.58,5.07,5.95,5.55
ETH,2016-02-13,5.72,4.19,5.69,5.39
ETH,2016-02-14,5.47,4.45,5.40,5.24
ETH,2016-02-15,5.89,5.02,5.33,5.29
ETH,2016-02-16,5.47,4.03,5.33,4.32
ETH,2016-02-17,4.77,3.50,4.29,3.76
ETH,2016-02-18,4.77,3.42,3.77,4.40
ETH,2016-02-19,4.79,4.27,4.38,4.74
ETH,2016-02-20,4.75,4.13,4.68,4.34
ETH,2016-02-21,4.71,4.23,4.36,4.65
ETH,2016-02-22,5.65,4.64,4.66,5.62
ETH,2016-02-23,5.95,5.39,5.68,5.59
ETH,2016-02-24,6.24,5.51,5.60,6.24
ETH,2016-02-25,6.65,5.55,6.19,6.10
ETH,2016-02-26,6.27,5.74,6.04,5.92
ETH,2016-02-27,6.53,5.92,5.96,6.43
ETH,2016-02-28,6.62,6.24,6.41,6.47
ETH,2016-02-29,6.61,6.05,6.46,6.34
ETH,2016-03-01,7.91,6.31,6.32,7.65
ETH,2016-03-02,8.75,7.37,7.63,8.47
ETH,2016-03-03,10.10,8.33,8.44,9.29
ETH,2016-03-04,10.41,8.48,9.24,10.41
ETH,2016-03-05,12.27,9.97,10.37,11.00
ETH,2016-03-06,11.84,9.99,11.20,11.38
ETH,2016-03-07,11.65,9.31,11.43,9.55
ETH,2016-03-08,10.17,8.82,9.58,9.85
ETH,2016-03-09,12.05,9.67,9.79,11.90
ETH,2016-03-10,12.24,10.99,11.88,11.31
ETH,2016-03-11,11.60,10.39,11.22,11.08
ETH,2016-03-12,13.53,11.09,11.13,13.53
ETH,2016-03-13,15.26,13.47,13.51,14.48
ETH,2016-03-14,15.01,11.58,14.51,12.45
ETH,2016-03-15,13.20,12.05,13.00,13.01
ETH,2016-03-16,13.73,12.50,13.02,12.52
ETH,2016-03-17,12.64,10.44,12.56,11.08
ETH,2016-03-18,11.18,8.52,11.11,11.00
ETH,2016-03-19,11.20,9.78,11.20,10.53
ETH,2016-03-20,10.90,9.57,10.52,10.32
ETH,2016-03-21,12.01,10.16,10.30,11.86
