Symbol,Date,High,Low,Open,Close
LTC,2013-04-29,4.57,4.23,4.37,4.38
LTC,2013-04-30,4.57,4.17,4.40,4.30
LTC,2013-05-01,4.36,3.52,4.29,3.80
LTC,2013-05-02,4.04,3.01,3.78,3.37
LTC,2013-05-03,3.45,2.40,3.39,3.04
LTC,2013-05-04,3.64,2.90,3.03,3.48
LTC,2013-05-05,3.69,3.35,3.49,3.59
LTC,2013-05-06,3.78,3.12,3.59,3.37
LTC,2013-05-07,3.41,2.94,3.37,3.33
LTC,2013-05-08,3.49,3.28,3.28,3.41
LTC,2013-05-09,3.44,3.29,3.40,3.42
LTC,2013-05-10,3.63,3.37,3.41,3.44
LTC,2013-05-11,3.48,3.30,3.46,3.35
LTC,2013-05-12,3.42,3.22,3.36,3.27
LTC,2013-05-13,3.37,3.20,3.26,3.28
LTC,2013-05-14,3.33,2.78,3.28,2.82
LTC,2013-05-15,3.04,2.64,2.82,2.94
LTC,2013-05-16,2.97,2.69,2.93,2.92
LTC,2013-05-17,3.34,2.87,2.89,3.19
LTC,2013-05-18,3.36,3.13,3.20,3.29
LTC,2013-05-19,3.41,3.19,3.30,3.30
LTC,2013-05-20,3.32,3.15,3.31,3.18
LTC,2013-05-21,3.22,3.04,3.19,3.09
LTC,2013-05-22,3.14,3.03,3.09,3.12
LTC,2013-05-23,3.19,3.09,3.12,3.18
LTC,2013-05-24,3.19,3.04,3.17,3.18
LTC,2013-05-25,3.20,3.05,3.19,3.12
LTC,2013-05-26,3.33,3.09,3.12,3.25
LTC,2013-05-27,3.26,3.02,3.23,3.10
LTC,2013-05-28,3.13,3.02,3.10,3.09
LTC,2013-05-29,3.12,3.02,3.09,3.10
LTC,2013-05-30,3.09,2.88,3.08,2.97
LTC,2013-05-31,2.99,2.69,2.97,2.96
LTC,2013-06-01,2.97,2.80,2.94,2.83
LTC,2013-06-02,2.86,2.56,2.83,2.73
LTC,2013-06-03,2.75,2.61,2.73,2.73
LTC,2013-06-04,2.90,2.70,2.70,2.87
LTC,2013-06-05,2.99,2.81,2.87,2.86
LTC,2013-06-06,2.91,2.74,2.88,2.75
LTC,2013-06-07,2.79,2.51,2.78,2.60
LTC,2013-06-08,2.66,2.54,2.60,2.56
LTC,2013-06-09,2.59,2.07,2.55,2.38
LTC,2013-06-10,2.58,2.26,2.38,2.49
LTC,2013-06-11,2.50,2.18,2.49,2.40
LTC,2013-06-12,2.45,2.31,2.41,2.38
LTC,2013-06-13,2.49,2.23,2.40,2.27
LTC,2013-06-14,2.29,2.09,2.27,2.13
LTC,2013-06-15,2.21,2.05,2.14,2.11
LTC,2013-06-16,2.15,2.02,2.09,2.13
LTC,2013-06-17,2.29,2.09,2.14,2.28
LTC,2013-06-18,2.37,2.19,2.28,2.31
LTC,2013-06-19,2.34,2.25,2.30,2.30
LTC,2013-06-20,2.40,2.27,2.30,2.29
LTC,2013-06-21,2.87,2.27,2.33,2.87
LTC,2013-06-22,3.58,2.66,2.86,2.92
LTC,2013-06-23,3.34,2.90,2.90,3.12
LTC,2013-06-24,3.15,2.71,3.13,2.87
LTC,2013-06-25,2.91,2.77,2.85,2.82
LTC,2013-06-26,2.95,2.75,2.81,2.86
LTC,2013-06-27,3.03,2.84,2.88,3.02
LTC,2013-06-28,3.04,2.67,3.04,2.75
LTC,2013-06-29,2.93,2.70,2.76,2.79
LTC,2013-06-30,3.00,2.77,2.79,2.98
LTC,2013-07-01,3.30,2.88,3.01,2.95
LTC,2013-07-02,3.03,2.81,2.95,2.83
LTC,2013-07-03,3.03,2.61,2.85,2.62
LTC,2013-07-04,2.78,2.49,2.68,2.73
LTC,2013-07-05,2.72,2.33,2.71,2.43
LTC,2013-07-06,2.62,2.37,2.42,2.52
LTC,2013-07-07,2.66,2.38,2.46,2.66
LTC,2013-07-08,2.74,2.49,2.71,2.61
LTC,2013-07-09,2.65,2.48,2.58,2.61
LTC,2013-07-10,2.81,2.58,2.61,2.81
LTC,2013-07-11,2.87,2.64,2.84,2.73
LTC,2013-07-12,2.91,2.70,2.72,2.79
LTC,2013-07-13,2.91,2.67,2.81,2.90
LTC,2013-07-14,2.97,2.78,2.93,2.91
LTC,2013-07-15,3.06,2.85,2.87,2.98
LTC,2013-07-16,3.18,2.95,3.00,3.10
LTC,2013-07-17,3.17,3.06,3.08,3.15
LTC,2013-07-18,3.15,2.76,3.15,2.89
LTC,2013-07-19,3.05,2.80,2.88,2.96
LTC,2013-07-20,3.01,2.86,2.96,2.86
LTC,2013-07-21,2.95,2.81,2.87,2.92
LTC,2013-07-22,2.95,2.86,2.95,2.89
LTC,2013-07-23,3.01,2.88,2.89,2.99
LTC,2013-07-24,2.99,2.88,2.99,2.94
LTC,2013-07-25,3.02,2.92,2.95,2.97
LTC,2013-07-26,2.99,2.83,2.98,2.90
LTC,2013-07-27,2.94,2.84,2.90,2.88
LTC,2013-07-28,3.03,2.84,2.88,2.98
LTC,2013-07-29,3.04,2.94,2.94,2.96
LTC,2013-07-30,3.00,2.88,2.97,2.99
LTC,2013-07-31,3.03,2.84,3.00,2.87
LTC,2013-08-01,3.01,2.85,2.87,2.91
LTC,2013-08-02,2.97,2.82,2.94,2.84
LTC,2013-08-03,3.12,2.81,2.84,2.96
LTC,2013-08-04,3.05,2.94,3.01,3.01
LTC,2013-08-05,3.03,2.82,3.00,2.83
LTC,2013-08-06,2.90,2.79,2.84,2.82
LTC,2013-08-07,2.82,2.70,2.82,2.76
LTC,2013-08-08,2.81,2.67,2.75,2.70
LTC,2013-08-09,2.76,2.66,2.71,2.68
LTC,2013-08-10,2.71,2.56,2.69,2.56
LTC,2013-08-11,2.72,2.53,2.55,2.69
LTC,2013-08-12,2.72,2.58,2.69,2.65
LTC,2013-08-13,2.76,2.62,2.66,2.74
LTC,2013-08-14,2.83,2.69,2.76,2.73
LTC,2013-08-15,2.83,2.69,2.74,2.76
LTC,2013-08-16,2.79,2.70,2.76,2.72
LTC,2013-08-17,2.84,2.69,2.72,2.82
LTC,2013-08-18,2.86,2.77,2.80,2.80
LTC,2013-08-19,2.89,2.74,2.80,2.82
LTC,2013-08-20,2.88,2.76,2.82,2.78
LTC,2013-08-21,2.84,2.59,2.77,2.70
LTC,2013-08-22,2.78,2.59,2.69,2.75
LTC,2013-08-23,2.88,2.67,2.78,2.72
LTC,2013-08-24,2.78,2.67,2.74,2.69
LTC,2013-08-25,2.71,2.52,2.68,2.59
LTC,2013-08-26,2.65,2.56,2.58,2.57
LTC,2013-08-27,2.65,2.49,2.57,2.57
LTC,2013-08-28,2.60,2.51,2.58,2.52
LTC,2013-08-29,2.58,2.52,2.54,2.55
LTC,2013-08-30,2.73,2.51,2.54,2.66
LTC,2013-08-31,2.69,2.55,2.66,2.58
LTC,2013-09-01,2.76,2.54,2.59,2.58
LTC,2013-09-02,2.74,2.54,2.57,2.56
LTC,2013-09-03,2.62,2.49,2.55,2.60
LTC,2013-09-04,3.19,2.60,2.60,2.81
LTC,2013-09-05,2.95,2.71,2.82,2.75
LTC,2013-09-06,2.84,2.65,2.78,2.69
LTC,2013-09-07,2.76,2.67,2.68,2.71
LTC,2013-09-08,2.77,2.67,2.70,2.73
LTC,2013-09-09,2.76,2.65,2.73,2.73
LTC,2013-09-10,2.73,2.62,2.73,2.64
LTC,2013-09-11,2.81,2.61,2.64,2.72
LTC,2013-09-12,2.75,2.66,2.75,2.70
LTC,2013-09-13,2.74,2.60,2.69,2.67
LTC,2013-09-14,2.68,2.52,2.66,2.54
LTC,2013-09-15,2.72,2.55,2.59,2.64
LTC,2013-09-16,2.68,2.60,2.65,2.63
LTC,2013-09-17,2.65,2.48,2.63,2.60
LTC,2013-09-18,2.63,2.54,2.60,2.56
LTC,2013-09-19,2.63,2.55,2.55,2.62
LTC,2013-09-20,2.72,2.46,2.61,2.48
LTC,2013-09-21,2.57,2.47,2.48,2.51
LTC,2013-09-22,2.64,2.49,2.53,2.53
LTC,2013-09-23,2.63,2.46,2.53,2.47
LTC,2013-09-24,2.50,2.42,2.47,2.47
LTC,2013-09-25,2.51,2.37,2.47,2.37
LTC,2013-09-26,2.53,2.37,2.37,2.39
LTC,2013-09-27,2.49,2.36,2.40,2.40
LTC,2013-09-28,2.40,2.23,2.39,2.25
LTC,2013-09-29,2.40,2.25,2.27,2.30
LTC,2013-09-30,2.45,2.23,2.30,2.35
LTC,2013-10-01,2.51,2.33,2.34,2.42
LTC,2013-10-02,2.47,1.62,2.42,1.97
LTC,2013-10-03,2.18,1.92,1.98,2.17
LTC,2013-10-04,2.26,2.18,2.18,2.20
LTC,2013-10-05,2.22,2.12,2.19,2.15
LTC,2013-10-06,2.20,2.12,2.13,2.17
LTC,2013-10-07,2.20,2.08,2.17,2.10
LTC,2013-10-08,2.11,1.89,2.10,1.98
LTC,2013-10-09,2.00,1.86,1.98,1.92
LTC,2013-10-10,2.38,1.85,1.93,2.03
LTC,2013-10-11,2.22,1.91,2.03,2.07
LTC,2013-10-12,2.14,2.06,2.07,2.12
LTC,2013-10-13,2.19,2.10,2.12,2.13
LTC,2013-10-14,2.17,2.03,2.15,2.05
LTC,2013-10-15,2.08,1.90,2.06,1.96
LTC,2013-10-16,2.04,1.85,1.97,1.92
LTC,2013-10-17,1.96,1.88,1.92,1.91
LTC,2013-10-18,1.94,1.88,1.92,1.90
LTC,2013-10-19,2.00,1.82,1.91,1.88
LTC,2013-10-20,1.96,1.87,1.87,1.93
LTC,2013-10-21,1.95,1.78,1.93,1.82
LTC,2013-10-22,1.84,1.64,1.82,1.70
LTC,2013-10-23,2.37,1.69,1.70,2.05
LTC,2013-10-24,2.39,1.95,2.06,2.27
LTC,2013-10-25,2.65,2.12,2.29,2.18
LTC,2013-10-26,2.30,2.15,2.16,2.21
LTC,2013-10-27,2.27,2.09,2.20,2.13
LTC,2013-10-28,2.23,2.11,2.13,2.18
LTC,2013-10-29,2.22,2.12,2.17,2.13
LTC,2013-10-30,2.31,2.11,2.13,2.29
LTC,2013-10-31,2.38,2.21,2.28,2.36
LTC,2013-11-01,2.48,2.33,2.34,2.45
LTC,2013-11-02,2.75,2.37,2.46,2.70
LTC,2013-11-03,3.32,2.48,2.72,2.88
LTC,2013-11-04,3.17,2.77,2.90,3.08
LTC,2013-11-05,3.14,2.87,3.08,3.04
LTC,2013-11-06,3.51,3.00,3.04,3.39
LTC,2013-11-07,4.55,3.35,3.36,4.39
LTC,2013-11-08,4.80,4.35,4.38,4.61
LTC,2013-11-09,4.65,3.80,4.61,4.22
