Symbol,Date,High,Low,Open,Close
BTC,2013-04-29,147.49,134.00,134.44,144.54
BTC,2013-04-30,146.93,134.05,144.00,139.00
BTC,2013-05-01,139.89,107.72,139.00,116.99
BTC,2013-05-02,125.60,92.28,116.38,105.21
BTC,2013-05-03,108.13,79.10,106.25,97.75
BTC,2013-05-04,115.00,92.50,98.10,112.50
BTC,2013-05-05,118.80,107.14,112.90,115.91
BTC,2013-05-06,124.66,106.64,115.98,112.30
BTC,2013-05-07,113.44,97.70,112.25,111.50
BTC,2013-05-08,115.78,109.60,109.60,113.57
BTC,2013-05-09,113.46,109.26,113.20,112.67
BTC,2013-05-10,122.00,111.55,112.80,117.20
BTC,2013-05-11,118.68,113.01,117.70,115.24
BTC,2013-05-12,117.45,113.43,115.64,115.00
BTC,2013-05-13,118.70,114.50,114.82,117.98
BTC,2013-05-14,119.80,110.25,117.98,111.50
BTC,2013-05-15,115.81,103.50,111.40,114.22
BTC,2013-05-16,118.76,112.20,114.22,118.76
BTC,2013-05-17,125.30,116.57,118.21,123.01
BTC,2013-05-18,125.25,122.30,123.50,123.50
BTC,2013-05-19,124.50,119.57,123.21,121.99
BTC,2013-05-20,123.62,120.12,122.50,122.00
BTC,2013-05-21,123.00,121.21,122.02,122.88
BTC,2013-05-22,124.00,122.00,122.89,123.89
BTC,2013-05-23,126.93,123.10,123.80,126.70
BTC,2013-05-24,133.85,125.72,126.30,133.20
BTC,2013-05-25,133.22,128.90,133.10,131.98
BTC,2013-05-26,136.00,130.62,131.99,133.48
BTC,2013-05-27,135.46,124.70,133.50,129.74
BTC,2013-05-28,130.58,125.60,129.77,129.00
BTC,2013-05-29,132.59,127.66,129.00,132.30
BTC,2013-05-30,132.25,127.00,132.25,128.80
BTC,2013-05-31,129.90,126.40,128.80,129.00
BTC,2013-06-01,129.78,127.20,128.82,129.30
BTC,2013-06-02,129.40,115.05,129.30,122.29
BTC,2013-06-03,122.50,116.00,122.50,122.22
BTC,2013-06-04,123.84,119.10,120.74,121.42
BTC,2013-06-05,123.47,119.90,121.40,121.65
BTC,2013-06-06,123.10,117.25,121.90,118.00
BTC,2013-06-07,119.00,106.42,118.97,111.50
BTC,2013-06-08,111.42,107.30,111.00,108.30
BTC,2013-06-09,108.99,88.50,107.89,100.00
BTC,2013-06-10,110.10,95.00,100.44,106.35
BTC,2013-06-11,109.60,104.00,106.35,108.90
BTC,2013-06-12,111.79,106.73,109.00,108.15
BTC,2013-06-13,110.30,100.53,108.78,104.00
BTC,2013-06-14,104.70,98.00,103.95,99.98
BTC,2013-06-15,103.70,98.00,100.00,99.99
BTC,2013-06-16,101.60,98.95,99.80,99.51
BTC,2013-06-17,102.21,99.00,99.90,101.70
BTC,2013-06-18,111.11,101.03,101.95,107.40
BTC,2013-06-19,110.22,105.75,107.05,108.25
BTC,2013-06-20,114.30,107.50,108.25,110.15
BTC,2013-06-21,114.99,107.68,111.29,109.50
BTC,2013-06-22,109.96,107.51,109.50,108.30
BTC,2013-06-23,108.80,106.23,108.20,107.60
BTC,2013-06-24,108.33,100.98,107.90,102.74
BTC,2013-06-25,106.47,101.01,102.09,103.95
BTC,2013-06-26,105.49,102.79,103.33,104.00
BTC,2013-06-27,104.00,101.10,104.00,101.44
BTC,2013-06-28,101.74,92.33,101.74,94.65
BTC,2013-06-29,99.99,93.00,94.66,94.99
BTC,2013-06-30,98.12,94.22,95.00,96.61
BTC,2013-07-01,97.66,86.30,97.51,88.05
BTC,2013-07-02,92.30,87.51,88.05,90.13
BTC,2013-07-03,90.98,76.98,90.40,77.53
BTC,2013-07-04,83.11,72.00,78.89,80.53
BTC,2013-07-05,80.00,65.53,79.99,68.43
BTC,2013-07-06,75.00,66.82,68.50,70.28
BTC,2013-07-07,74.56,66.62,68.75,74.56
BTC,2013-07-08,80.00,72.60,76.50,76.52
BTC,2013-07-09,78.30,72.52,76.00,76.69
BTC,2013-07-10,87.00,76.20,76.72,86.76
BTC,2013-07-11,90.28,85.08,88.00,88.98
BTC,2013-07-12,104.00,88.17,88.98,93.59
BTC,2013-07-13,98.25,88.06,93.99,98.13
BTC,2013-07-14,98.70,92.86,98.70,94.69
BTC,2013-07-15,101.90,93.11,93.61,98.40
BTC,2013-07-16,99.86,96.14,98.89,97.45
BTC,2013-07-17,99.97,96.18,96.71,98.50
BTC,2013-07-18,98.80,86.20,98.50,90.58
BTC,2013-07-19,95.20,87.80,90.07,92.17
BTC,2013-07-20,93.10,89.27,92.00,89.39
BTC,2013-07-21,91.95,88.00,89.82,90.76
BTC,2013-07-22,92.00,90.08,92.00,91.61
BTC,2013-07-23,96.82,91.60,91.60,95.56
BTC,2013-07-24,95.99,93.00,95.56,94.51
BTC,2013-07-25,97.33,93.87,94.50,96.90
BTC,2013-07-26,97.47,96.00,96.95,96.02
BTC,2013-07-27,97.00,93.00,96.02,94.12
BTC,2013-07-28,100.58,94.00,94.40,99.76
BTC,2013-07-29,102.50,98.46,98.60,101.20
BTC,2013-07-30,107.99,100.47,101.49,107.99
BTC,2013-07-31,111.34,103.88,107.95,106.09
BTC,2013-08-01,108.00,103.01,106.21,104.00
BTC,2013-08-02,108.00,101.21,104.86,104.50
BTC,2013-08-03,105.78,102.00,104.50,104.00
BTC,2013-08-04,105.95,103.52,104.95,105.14
BTC,2013-08-05,107.77,105.00,105.12,106.22
BTC,2013-08-06,107.38,105.56,106.72,106.75
BTC,2013-08-07,106.75,106.75,106.75,106.75
BTC,2013-08-08,106.75,101.26,106.75,103.00
BTC,2013-08-09,105.75,101.93,103.07,102.80
BTC,2013-08-10,103.90,102.41,102.80,103.00
BTC,2013-08-11,105.19,102.75,103.00,105.00
BTC,2013-08-12,108.00,103.50,105.00,106.64
BTC,2013-08-13,109.35,104.65,106.99,109.00
BTC,2013-08-14,115.00,108.00,109.56,112.56
BTC,2013-08-15,113.25,109.00,112.56,109.99
BTC,2013-08-16,112.30,108.52,110.00,108.99
BTC,2013-08-17,113.75,108.22,108.99,113.50
BTC,2013-08-18,114.69,112.00,112.75,113.50
BTC,2013-08-19,123.06,111.77,113.38,119.00
BTC,2013-08-20,123.01,117.51,119.00,121.21
BTC,2013-08-21,124.91,119.68,121.21,123.30
BTC,2013-08-22,123.50,120.60,123.30,121.15
BTC,2013-08-23,122.00,118.44,122.00,118.50
BTC,2013-08-24,121.39,118.02,118.51,120.04
BTC,2013-08-25,122.99,119.17,119.60,122.11
BTC,2013-08-26,122.75,119.93,122.11,120.06
BTC,2013-08-27,127.24,120.07,120.07,126.50
BTC,2013-08-28,127.32,122.62,126.48,122.62
BTC,2013-08-29,123.70,122.21,122.62,122.39
BTC,2013-08-30,135.75,120.99,122.35,133.49
BTC,2013-08-31,140.89,132.72,133.09,135.35
BTC,2013-09-01,145.81,134.81,135.14,138.34
BTC,2013-09-02,146.50,134.89,138.63,135.85
BTC,2013-09-03,138.34,133.00,135.61,136.77
BTC,2013-09-04,144.50,123.61,136.53,126.74
BTC,2013-09-05,131.44,121.83,126.76,126.43
BTC,2013-09-06,127.34,119.15,126.49,119.15
BTC,2013-09-07,125.94,118.46,118.89,124.15
BTC,2013-09-08,124.72,120.49,124.13,121.66
BTC,2013-09-09,129.06,119.75,121.86,127.11
BTC,2013-09-10,129.74,125.90,127.27,125.91
BTC,2013-09-11,137.83,123.27,125.89,135.25
BTC,2013-09-12,136.08,131.81,135.55,133.13
BTC,2013-09-13,137.58,132.27,132.83,134.98
BTC,2013-09-14,135.85,128.87,135.01,129.22
BTC,2013-09-15,131.44,128.26,129.40,130.37
BTC,2013-09-16,132.72,129.77,130.86,131.72
BTC,2013-09-17,132.76,124.89,131.59,131.66
BTC,2013-09-18,133.20,130.54,131.71,131.47
BTC,2013-09-19,131.77,128.45,131.37,129.65
BTC,2013-09-20,135.62,126.68,129.70,127.04
BTC,2013-09-21,128.61,126.24,126.95,127.43
BTC,2013-09-22,133.94,126.59,127.87,129.12
BTC,2013-09-23,132.73,125.66,128.98,125.95
BTC,2013-09-24,127.46,125.39,126.05,127.25
BTC,2013-09-25,129.69,127.33,127.38,128.22
BTC,2013-09-26,134.93,127.32,128.21,128.38
BTC,2013-09-27,134.74,128.49,128.94,133.78
BTC,2013-09-28,135.63,132.56,133.77,134.78
BTC,2013-09-29,140.61,134.71,134.90,137.34
BTC,2013-09-30,138.35,130.27,137.15,133.00
BTC,2013-10-01,134.63,131.55,132.68,132.18
BTC,2013-10-02,133.59,102.25,132.05,114.13
BTC,2013-10-03,123.63,111.82,114.45,123.63
BTC,2013-10-04,130.09,123.41,123.41,129.01
BTC,2013-10-05,130.44,128.03,128.63,128.55
BTC,2013-10-06,129.66,126.15,128.36,129.00
BTC,2013-10-07,130.27,126.36,129.43,126.94
BTC,2013-10-08,127.47,124.71,126.74,126.00
BTC,2013-10-09,131.75,125.58,125.85,130.69
BTC,2013-10-10,131.50,129.26,130.67,130.59
BTC,2013-10-11,131.81,129.64,130.75,130.90
BTC,2013-10-12,135.66,130.56,130.90,135.19
BTC,2013-10-13,138.66,134.55,135.19,138.13
BTC,2013-10-14,144.12,138.90,139.27,140.52
BTC,2013-10-15,145.39,139.13,140.77,145.24
BTC,2013-10-16,152.23,142.43,145.65,142.55
