Symbol,Date,High,Low,Open,Close
DOT,2020-08-21,3.09,2.73,2.90,2.88
DOT,2020-08-22,4.51,2.82,2.88,4.48
DOT,2020-08-23,4.49,3.72,4.49,3.97
DOT,2020-08-24,4.78,3.81,3.99,4.60
DOT,2020-08-25,5.76,4.50,4.58,5.52
DOT,2020-08-26,6.55,5.14,5.54,6.08
DOT,2020-08-27,6.79,5.31,6.08,5.63
DOT,2020-08-28,6.33,5.54,5.64,6.16
DOT,2020-08-29,6.56,6.04,6.18,6.16
DOT,2020-08-30,6.22,5.75,6.15,5.87
DOT,2020-08-31,6.46,5.77,5.91,6.30
DOT,2020-09-01,6.84,6.17,6.30,6.29
DOT,2020-09-02,6.43,5.66,6.28,6.14
DOT,2020-09-03,6.32,5.68,6.13,5.75
DOT,2020-09-04,5.98,4.63,5.73,5.15
DOT,2020-09-05,5.31,3.65,5.14,4.12
DOT,2020-09-06,4.90,3.76,4.14,4.80
DOT,2020-09-07,4.82,4.03,4.80,4.59
DOT,2020-09-08,4.62,4.12,4.59,4.27
DOT,2020-09-09,4.80,4.16,4.28,4.71
DOT,2020-09-10,4.87,4.47,4.71,4.58
DOT,2020-09-11,4.75,4.32,4.58,4.65
DOT,2020-09-12,5.28,4.52,4.65,5.14
DOT,2020-09-13,5.48,4.81,5.15,5.30
DOT,2020-09-14,5.60,5.13,5.30,5.35
DOT,2020-09-15,5.45,5.10,5.37,5.10
DOT,2020-09-16,5.28,4.99,5.07,5.08
DOT,2020-09-17,5.42,5.06,5.08,5.34
DOT,2020-09-18,5.46,5.11,5.34,5.25
DOT,2020-09-19,5.26,4.82,5.25,4.93
DOT,2020-09-20,4.97,4.42,4.93,4.67
DOT,2020-09-21,4.70,3.95,4.67,4.09
DOT,2020-09-22,4.21,3.92,4.09,4.17
DOT,2020-09-23,4.32,3.97,4.17,4.03
DOT,2020-09-24,4.40,3.99,4.02,4.38
DOT,2020-09-25,4.53,4.26,4.38,4.42
DOT,2020-09-26,4.46,4.24,4.42,4.35
DOT,2020-09-27,4.36,4.16,4.34,4.31
DOT,2020-09-28,4.58,4.27,4.30,4.40
DOT,2020-09-29,4.60,4.36,4.42,4.50
DOT,2020-09-30,4.50,4.25,4.50,4.35
DOT,2020-10-01,4.58,4.26,4.35,4.34
DOT,2020-10-02,4.36,3.93,4.34,4.12
DOT,2020-10-03,4.13,4.04,4.13,4.07
DOT,2020-10-04,4.20,4.02,4.07,4.17
DOT,2020-10-05,4.23,4.12,4.18,4.17
DOT,2020-10-06,4.18,3.65,4.17,3.76
DOT,2020-10-07,3.88,3.62,3.75,3.86
DOT,2020-10-08,4.16,3.66,3.86,4.10
DOT,2020-10-09,4.35,4.02,4.11,4.26
DOT,2020-10-10,4.48,4.24,4.26,4.25
DOT,2020-10-11,4.33,4.18,4.26,4.26
DOT,2020-10-12,4.44,4.21,4.26,4.32
DOT,2020-10-13,4.34,4.16,4.32,4.25
DOT,2020-10-14,4.36,4.09,4.26,4.20
DOT,2020-10-15,4.19,4.03,4.19,4.10
DOT,2020-10-16,4.16,3.84,4.10,3.91
DOT,2020-10-17,3.98,3.87,3.92,3.97
DOT,2020-10-18,4.12,3.96,3.97,4.10
DOT,2020-10-19,4.11,3.96,4.11,3.99
DOT,2020-10-20,4.14,3.88,3.99,3.91
DOT,2020-10-21,4.25,3.91,3.91,4.14
DOT,2020-10-22,4.33,4.13,4.14,4.27
DOT,2020-10-23,4.47,4.20,4.27,4.27
DOT,2020-10-24,4.43,4.24,4.27,4.36
DOT,2020-10-25,4.45,4.27,4.36,4.34
DOT,2020-10-26,4.74,4.30,4.34,4.73
DOT,2020-10-27,4.93,4.66,4.73,4.68
DOT,2020-10-28,4.77,4.26,4.68,4.37
DOT,2020-10-29,4.40,3.88,4.37,4.05
DOT,2020-10-30,4.16,3.94,4.05,4.09
DOT,2020-10-31,4.27,4.07,4.09,4.18
DOT,2020-11-01,4.23,4.12,4.18,4.23
DOT,2020-11-02,4.26,3.99,4.23,4.03
DOT,2020-11-03,4.07,3.89,4.03,4.03
DOT,2020-11-04,4.15,3.89,4.03,4.10
DOT,2020-11-05,4.30,4.03,4.10,4.24
DOT,2020-11-06,4.63,4.21,4.24,4.58
DOT,2020-11-07,4.84,4.11,4.58,4.24
DOT,2020-11-08,4.43,4.14,4.24,4.37
DOT,2020-11-09,4.46,4.25,4.37,4.35
DOT,2020-11-10,4.50,4.31,4.35,4.42
DOT,2020-11-11,4.62,4.42,4.42,4.46
DOT,2020-11-12,4.47,4.32,4.46,4.40
DOT,2020-11-13,4.59,4.37,4.40,4.54
DOT,2020-11-14,4.55,4.37,4.54,4.47
DOT,2020-11-15,4.49,4.31,4.47,4.38
DOT,2020-11-16,4.59,4.35,4.38,4.49
DOT,2020-11-17,4.91,4.57,4.61,4.84
DOT,2020-11-18,4.93,4.53,4.84,4.68
DOT,2020-11-19,4.85,4.55,4.68,4.76
DOT,2020-11-20,5.46,4.75,4.76,5.23
DOT,2020-11-21,5.81,5.14,5.23,5.75
DOT,2020-11-22,5.83,5.22,5.75,5.48
DOT,2020-11-23,5.94,5.42,5.48,5.91
DOT,2020-11-24,6.08,5.62,5.91,5.73
DOT,2020-11-25,5.82,5.18,5.73,5.31
DOT,2020-11-26,5.37,4.46,5.31,4.80
DOT,2020-11-27,5.07,4.52,4.81,4.78
DOT,2020-11-28,4.94,4.68,4.78,4.90
DOT,2020-11-29,5.20,4.81,4.90,5.19
DOT,2020-11-30,5.44,5.15,5.19,5.38
DOT,2020-12-01,5.53,5.02,5.38,5.09
DOT,2020-12-02,5.53,5.03,5.09,5.46
DOT,2020-12-03,5.56,5.34,5.46,5.41
DOT,2020-12-04,5.43,4.97,5.41,5.03
DOT,2020-12-05,5.19,4.89,5.03,5.19
DOT,2020-12-06,5.20,5.01,5.19,5.14
DOT,2020-12-07,5.15,5.02,5.13,5.06
DOT,2020-12-08,5.07,4.71,5.06,4.73
DOT,2020-12-09,4.94,4.63,4.73,4.86
DOT,2020-12-10,4.91,4.75,4.86,4.80
DOT,2020-12-11,4.80,4.55,4.80,4.62
DOT,2020-12-12,4.80,4.62,4.62,4.74
DOT,2020-12-13,4.99,4.74,4.74,4.89
DOT,2020-12-14,5.00,4.84,4.89,4.90
DOT,2020-12-15,5.28,4.85,4.90,5.25
DOT,2020-12-16,5.36,5.12,5.25,5.36
DOT,2020-12-17,5.73,5.29,5.36,5.34
DOT,2020-12-18,5.50,5.26,5.34,5.37
DOT,2020-12-19,5.57,5.29,5.37,5.34
DOT,2020-12-20,5.43,5.09,5.34,5.19
DOT,2020-12-21,5.41,4.81,5.19,4.89
DOT,2020-12-22,5.17,4.81,4.89,5.15
DOT,2020-12-23,5.18,4.62,5.15,4.71
DOT,2020-12-24,5.20,4.66,4.71,5.13
DOT,2020-12-25,5.27,5.04,5.13,5.21
DOT,2020-12-26,5.27,5.09,5.21,5.18
DOT,2020-12-27,5.39,4.95,5.18,5.14
DOT,2020-12-28,6.64,5.12,5.14,6.59
DOT,2020-12-29,7.61,6.20,6.58,7.52
DOT,2020-12-30,7.65,7.09,7.52,7.25
DOT,2020-12-31,9.43,7.17,7.25,9.29
DOT,2021-01-01,9.42,8.12,9.29,8.31
DOT,2021-01-02,9.76,7.94,8.31,9.21
