Symbol,Date,High,Low,Open,Close
SOL,2020-04-11,1.05,0.77,0.95,0.78
SOL,2020-04-12,0.96,0.76,0.79,0.88
SOL,2020-04-13,0.89,0.77,0.89,0.78
SOL,2020-04-14,0.80,0.63,0.78,0.66
SOL,2020-04-15,0.70,0.62,0.67,0.65
SOL,2020-04-16,0.77,0.63,0.63,0.69
SOL,2020-04-17,0.72,0.66,0.69,0.66
SOL,2020-04-18,0.72,0.66,0.66,0.68
SOL,2020-04-19,0.68,0.60,0.68,0.61
SOL,2020-04-20,0.64,0.52,0.61,0.54
SOL,2020-04-21,0.60,0.51,0.54,0.59
SOL,2020-04-22,0.71,0.57,0.58,0.69
SOL,2020-04-23,0.70,0.60,0.69,0.63
SOL,2020-04-24,0.67,0.61,0.62,0.63
SOL,2020-04-25,0.67,0.62,0.63,0.64
SOL,2020-04-26,0.69,0.63,0.65,0.64
SOL,2020-04-27,0.66,0.56,0.64,0.57
SOL,2020-04-28,0.69,0.57,0.58,0.66
SOL,2020-04-29,0.78,0.66,0.66,0.75
SOL,2020-04-30,0.80,0.69,0.75,0.69
SOL,2020-05-01,0.74,0.69,0.69,0.73
SOL,2020-05-02,0.75,0.71,0.73,0.72
SOL,2020-05-03,0.73,0.66,0.71,0.68
SOL,2020-05-04,0.71,0.62,0.68,0.67
SOL,2020-05-05,0.69,0.63,0.67,0.64
SOL,2020-05-06,0.67,0.62,0.64,0.62
SOL,2020-05-07,0.63,0.57,0.62,0.61
SOL,2020-05-08,0.64,0.59,0.61,0.60
SOL,2020-05-09,0.63,0.59,0.60,0.60
SOL,2020-05-10,0.61,0.51,0.60,0.54
SOL,2020-05-11,0.57,0.51,0.54,0.52
SOL,2020-05-12,0.56,0.51,0.51,0.54
SOL,2020-05-13,0.56,0.52,0.54,0.55
SOL,2020-05-14,0.58,0.55,0.55,0.57
SOL,2020-05-15,0.57,0.55,0.57,0.56
SOL,2020-05-16,0.61,0.55,0.56,0.60
SOL,2020-05-17,0.64,0.59,0.60,0.61
SOL,2020-05-18,0.67,0.61,0.61,0.65
SOL,2020-05-19,0.65,0.61,0.65,0.62
SOL,2020-05-20,0.63,0.58,0.62,0.58
SOL,2020-05-21,0.61,0.54,0.58,0.61
SOL,2020-05-22,0.68,0.58,0.61,0.64
SOL,2020-05-23,0.64,0.59,0.64,0.61
SOL,2020-05-24,0.61,0.55,0.61,0.55
SOL,2020-05-25,0.65,0.54,0.55,0.60
SOL,2020-05-26,0.61,0.57,0.60,0.57
SOL,2020-05-27,0.61,0.57,0.57,0.59
SOL,2020-05-28,0.59,0.57,0.59,0.58
SOL,2020-05-29,0.59,0.57,0.57,0.58
SOL,2020-05-30,0.60,0.57,0.58,0.59
SOL,2020-05-31,0.59,0.57,0.59,0.57
SOL,2020-06-01,0.59,0.57,0.57,0.58
SOL,2020-06-02,0.59,0.55,0.58,0.56
SOL,2020-06-03,0.59,0.56,0.56,0.59
SOL,2020-06-04,0.59,0.56,0.59,0.59
SOL,2020-06-05,0.70,0.58,0.59,0.66
SOL,2020-06-06,0.66,0.61,0.66,0.62
SOL,2020-06-07,0.62,0.59,0.62,0.62
SOL,2020-06-08,0.68,0.61,0.62,0.67
SOL,2020-06-09,0.67,0.63,0.67,0.66
SOL,2020-06-10,0.67,0.63,0.66,0.64
SOL,2020-06-11,0.65,0.57,0.64,0.57
SOL,2020-06-12,0.60,0.57,0.57,0.59
SOL,2020-06-13,0.61,0.59,0.59,0.61
SOL,2020-06-14,0.62,0.58,0.61,0.59
SOL,2020-06-15,0.59,0.55,0.59,0.57
SOL,2020-06-16,0.59,0.57,0.57,0.59
SOL,2020-06-17,0.59,0.57,0.59,0.58
SOL,2020-06-18,0.65,0.58,0.58,0.62
SOL,2020-06-19,0.84,0.62,0.62,0.68
