Symbol,Date,High,Low,Open,Close
LINK,2017-09-21,0.21,0.16,0.19,0.17
LINK,2017-09-22,0.18,0.14,0.17,0.15
LINK,2017-09-23,0.16,0.13,0.15,0.13
LINK,2017-09-24,0.19,0.13,0.13,0.17
LINK,2017-09-25,0.18,0.16,0.17,0.18
LINK,2017-09-26,0.22,0.18,0.18,0.19
LINK,2017-09-27,0.21,0.19,0.19,0.19
LINK,2017-09-28,0.28,0.19,0.19,0.24
LINK,2017-09-29,0.33,0.21,0.25,0.31
LINK,2017-09-30,0.47,0.30,0.31,0.45
LINK,2017-10-01,0.45,0.38,0.45,0.44
LINK,2017-10-02,0.44,0.36,0.44,0.36
LINK,2017-10-03,0.37,0.30,0.37,0.35
LINK,2017-10-04,0.40,0.34,0.34,0.40
LINK,2017-10-05,0.42,0.38,0.40,0.41
LINK,2017-10-06,0.49,0.40,0.41,0.48
LINK,2017-10-07,0.48,0.42,0.47,0.46
LINK,2017-10-08,0.47,0.36,0.46,0.40
LINK,2017-10-09,0.44,0.36,0.40,0.38
LINK,2017-10-10,0.43,0.36,0.38,0.41
LINK,2017-10-11,0.45,0.41,0.42,0.45
LINK,2017-10-12,0.48,0.42,0.45,0.44
LINK,2017-10-13,0.47,0.41,0.44,0.43
LINK,2017-10-14,0.46,0.39,0.43,0.39
LINK,2017-10-15,0.42,0.37,0.39,0.41
LINK,2017-10-16,0.53,0.39,0.42,0.42
LINK,2017-10-17,0.42,0.36,0.42,0.40
LINK,2017-10-18,0.40,0.33,0.40,0.37
LINK,2017-10-19,0.38,0.29,0.37,0.30
LINK,2017-10-20,0.32,0.22,0.30,0.22
LINK,2017-10-21,0.27,0.20,0.22,0.25
LINK,2017-10-22,0.29,0.25,0.26,0.26
LINK,2017-10-23,0.28,0.23,0.26,0.25
LINK,2017-10-24,0.29,0.24,0.24,0.25
LINK,2017-10-25,0.26,0.24,0.26,0.25
LINK,2017-10-26,0.25,0.22,0.25,0.23
LINK,2017-10-27,0.24,0.22,0.23,0.22
LINK,2017-10-28,0.23,0.20,0.22,0.21
